Name,simulate8Clients/portfolio_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/portfolio_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/portfolio_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime
partmgr_completerequest_0.bpl.bpl.txt,OK,OK,341,324,91.646209,86.439095,wholeBenchmarkRun/OR,6.024026512540424,91.646209
partmgr_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,333,0,3599.077227,3600,NONE,NA,3600
mouser_removelockmnsurpriseremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,740,0,3599.241361,3600,NONE,NA,3600
mxport_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,NOK,759,3567,3598.777926,2476.676507,wholeBenchmarkRun/OR,45.35608464912853,3600
61883_irqlkesetevent_0.bpl.bpl.txt,OK,OK,7,1,0.7673639999999999,1.4512229999999997,simulate8Clients/portfolio,89.11794142023861,0.7673639999999999
cyzport_irqldispatch_0.bpl.bpl.txt,NOK,NOK,185,35,21.509496,37.342870000000005,simulate8Clients/portfolio,73.61108786556414,21.509496
serenum_completerequest_1.bpl.bpl.txt,TIMEDOUT,OK,1285,5617,3599.143955,3507.365424,wholeBenchmarkRun/OR,2.6411441296115123,3600
mouclass_multremovelock_0.bpl.bpl.txt,NOK,NOK,148,96,20.284091,32.996728000000004,simulate8Clients/portfolio,62.67294403283836,20.284091
winnt_markirppending_0.bpl.bpl.txt,NOK,NOK,107,93,10.471091,8.058095999999999,wholeBenchmarkRun/OR,29.94497707647068,10.471091
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt,OK,OK,1746,2812,2445.3927280000003,1830.338664,wholeBenchmarkRun/OR,33.603292991465764,2445.3927280000003
