Name,simulate8Clients/alpha50_1_Outcome,simulate8Clients/alpha50_2_Outcome,simulate8Clients/alpha50_3_Outcome,simulate8Clients/OR_8Clients_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/alpha50_1_TotalSplits,simulate8Clients/alpha50_2_TotalSplits,simulate8Clients/alpha50_3_TotalSplits,simulate8Clients/OR_8Clients_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/alpha50_1_Runtime,simulate8Clients/alpha50_2_Runtime,simulate8Clients/alpha50_3_Runtime,simulate8Clients/OR_8Clients_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime,Run number
61883_ioreuseirp_1.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,22,21,23,21,92,8.274938,9.236665,10.387396,9.070876,14.540942,simulate8Clients/alpha50_1,75.72267006713523,8.274938,Run1
hw_irqlkereleasespinlock_0.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,TIMEDOUT,OK,333,382,381,1294,3808,3367.882113,3598.661773,3598.656545,3598.639471,2731.942392,wholeBenchmarkRun/OR,23.277933050939684,3367.882113,Run1
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,OK,OK,OK,OK,219,146,192,144,501,486.38526199999995,261.929885,427.631843,154.24868,84.386169,wholeBenchmarkRun/OR,82.789053973999,154.24868,Run1
ppa3x_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,TIMEDOUT,91,96,97,75,0,3599.240274,3599.246121,3599.249438,3599.222382,3600,NONE,NA,3600,Run1
mouclass_signaleventincompletion_1.bpl.bpl.txt,OK,OK,OK,OK,OK,109,76,104,75,212,73.944193,52.81848,98.543728,70.548259,56.69444300000001,simulate8Clients/alpha50_2,7.338270620434375,52.81848,Run1
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,OK,OK,OK,OK,OK,339,413,190,2322,7377,2603.171019,3397.635984,1235.075278,3451.852716,3245.036767,simulate8Clients/alpha50_3,162.73999850881964,1235.075278,Run1
sbp2port_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,NOK,NOK,14,15,14,20,106,6.229568,5.844065,4.304879,5.577004,8.184379,simulate8Clients/alpha50_3,90.11867697094391,4.304879,Run1
kbdclass_removelockmnsurpriseremove_0.bpl.bpl.txt,TIMEDOUT,OK,OK,TIMEDOUT,TIMEDOUT,285,188,267,0,0,3599.155578,1629.7225760000001,2374.6316460000003,3600,3600,simulate8Clients/alpha50_2,120.89649201742418,1629.7225760000001,Run1
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMEDOUT,OK,OK,OK,OK,206,174,208,146,889,3598.946345,2137.635926,3311.501348,160.285565,554.929619,simulate8Clients/OR_8Clients,246.21309723055847,160.285565,Run1
kbdclass_ioallocatefree_0.bpl.bpl.txt,OK,OK,OK,OK,OK,100,98,106,155,782,194.847981,181.125855,273.99818,205.583753,297.119853,simulate8Clients/alpha50_2,64.04055235515656,181.125855,Run1
