Name UW alpha OR OR+UW OR+alpha UW+alpha All
serenum_markirppending_0.bpl.bpl.txt 3108.08 2100.78 3600 3108.08 2100.78 2100.78 2100.78
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt 1748.61 1639.85 3600 1748.61 1639.85 1639.85 1639.85
modem_pendedcompletedrequest2_0.bpl.bpl.txt 3600 200.27 894.39 894.39 200.27 200.27 200.27
hw_irqlkewaitformutexobject_0.bpl.bpl.txt 3600 1814.26 1996.35 1996.35 1814.26 1814.26 1814.26
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt 3600 33.67 3600 3600 33.67 33.67 33.67
modem_completerequest_0.bpl.bpl.txt 3600 1462.64 3600 3600 1462.64 1462.64 1462.64
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt 3600 3256.39 3600 3600 3256.39 3256.39 3256.39
tffsport_checkdeviceobjectflags_0.bpl.bpl.txt 3600 1718.58 3600 3600 1718.58 1718.58 1718.58
serenum_markirppending_2.bpl.bpl.txt 3600 2382.15 3600 3600 2382.15 2382.15 2382.15
usbccgp_lowerdriverreturn_0.bpl.bpl.txt 244.74 7.35 4.19 4.19 4.19 7.35 4.19
mouser_completerequest_0.bpl.bpl.txt 529.03 361.33 35.24 35.24 35.24 361.33 35.24
daytona_removelockreleasepnp_0.bpl.bpl.txt 122.34 19.98 16.88 16.88 16.88 19.98 16.88
sbp2port_removelock_0.bpl.bpl.txt 43.5 50.52 13.74 13.74 13.74 43.5 13.74
61883_removelockreleaseinternaldevicecontrol_1.bpl.bpl.txt 21.93 5.65 3.1 3.1 3.1 5.65 3.1
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt 23.12 10.32 3.04 3.04 3.04 10.32 3.04
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt 49.14 9.13 4.14 4.14 4.14 9.13 4.14
61883_removelockreleasedevicecontrol_1.bpl.bpl.txt 22.43 9.82 3.12 3.12 3.12 9.82 3.12
usbccgp_markirppending_0.bpl.bpl.txt 426.62 3.68 3.07 3.07 3.07 3.68 3.07
61883_pendedcompletedrequest3_0.bpl.bpl.txt 223.76 83.59 16.91 16.91 16.91 83.59 16.91
61883_pendedcompletedrequest_1.bpl.bpl.txt 94.9 7.59 3.43 3.43 3.43 7.59 3.43
usbccgp_ioreuseirp_0.bpl.bpl.txt 88.76 82.44 29.66 29.66 29.66 82.44 29.66
61883_ioreuseirp_1.bpl.bpl.txt 116.39 22.4 4.7 4.7 4.7 22.4 4.7
