Name UW alpha OR OR+UW OR+alpha UW+alpha All
avc_ioreuseirp_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlzwpassive_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_nsremovelockmnremove_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mxport_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockreleasepnp_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
parzip_removelockreleasepnp_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
modem_irqlkesetevent_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_pagedcode_2.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_lowerdriverreturn_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlkedispatchlte_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
filter_lowerdriverreturn_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
ppa3x_completerequest_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_irqlkesetevent_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
parzip_completerequest_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
parport_pagedcode_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
parzip_removelock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_irqlkereleasespinlock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
driver_zwregistrycreate_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkesetevent_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_lowerdriverreturn_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
modem_markirppending_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
partmgr_nsremovelockmnremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
parzip_nsremovelockmnremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkeraiselower_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelockreleasepnp_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_forwardedatbadirql_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
modem_irqlkereleasespinlock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
partmgr_nsremovelockmnsurpriseremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
usbccgp_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_irqlkesetevent_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelockrelease2_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
driver_irqlkedispatchlte_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_completerequest_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
ppa3x_removelockreleasepnp_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_irqlkereleasespinlock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mp_irqlexpassive_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlexallocatepool_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkeraiselower_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockreleasecreate_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlzwpassive_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
driver_completerequest_3.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
winnt_forwardedatbadirql_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_markirppending_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_irqlexallocatepool_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_irqlkereleasespinlock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_ioallocateforward_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockreleasepnp_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlexallocatepool_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sys_zwregistrycreate_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_markingqueuedirps_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sys_zwregistryopen_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
tffsport_spinlocksafe_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockreleasecreate_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockreleasepower_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_forwardedatbadirql_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
flpydisk_irqlexapclte1_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkesetevent_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_completerequest_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_ioallocateforward_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_nsremovelockmnsurpriseremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
usbccgp_irqlkereleasespinlock_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_markirppending_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_pagedcode_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockmnsurpriseremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_irqlkedispatchlte_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_markdevicepower_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlexallocatepool_2.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_completerequest_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
hw_irqlkeraiselower_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_completerequest_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_irqlkedispatchlte_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_ioallocatefree_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
partmgr_nsremovelockquerymnremove_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_ioallocatefree_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
usbccgp_irqlioapclte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
sbp2port_irqldispatch_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_markirppending_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
modem_irqlkedispatchlte_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelockrelease2_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_pagedcode_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
avc_ioreuseirp_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
serial_irqlzwpassive_2.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
61883_removelock_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
tffsport_spinlockrelease_0.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
mouser_removelockmnsurpriseremove_1.bpl.bpl.txt 3600 3600 3600 3600 3600 3600 3600
