Name,0_Outcome,50_Outcome,100_Outcome,0_InlinedProcedures,50_InlinedProcedures,100_InlinedProcedures,0_Runtime,50_Runtime,100_Runtime,Who_Performed_Better,Run number
crcfilter_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
driver_irqlkesetevent_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,1363,1577,0,257.04,795.84,3600.0,0,Run1
avc_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
1394diag_pendedcompletedrequest_0.bpl.bpl.txt,OK,ReachedBound,OK,3841,3830,1765,76.48,136.82,477.92,0,Run1
61883_completerequest_1.bpl.bpl.txt,NOK,NOK,NOK,6373,7122,2068,78.08,103.89,1943.55,0,Run1
mp_irqlkedispatchlte_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,5041,5089,1590,1932.34,575.3,301.78,100,Run1
parport_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
hw_irqlkewaitformutexobject_0.bpl.bpl.txt,TIMEDOUT,ReachedBound,ReachedBound,0,8814,4027,3600.0,1814.26,1996.35,50,Run1
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,NOK,2691,886,42,23.12,10.32,3.04,100,Run1
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
61883_ioreleaseremovelockandwaitoutsideremovedevice_0.bpl.bpl.txt,NOK,NOK,NOK,8844,2252,1728,72.59,33.04,275.95,50,Run1
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4841,4305,1049,73.2,166.26,463.64,0,Run1
crcfilter_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,ReachedBound,OK,4103,4166,2831,136.95,213.23,882.45,0,Run1
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt,NOK,NOK,NOK,5419,828,74,49.14,9.13,4.14,100,Run1
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,9543,7091,1480,276.3,228.37,1510.37,50,Run1
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,ReachedBound,OK,1590,1249,387,483.75,147.79,223.96,50,Run1
sbp2port_signaleventincompletion_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,2071,409,0,105.41,10.44,3600.0,50,Run1
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3079,2976,1921,218.15,228.51,322.76,0,Run1
cyzport_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,5348,5481,1332,175.38,248.01,258.62,0,Run1
Imapi_markirppending_0.bpl.bpl.txt,OK,OK,TIMEDOUT,3723,3502,0,192.85,930.85,3600.0,0,Run1
winnt_completerequest_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,3245,3677,0,24.99,31.49,3600.0,0,Run1
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,10323,4262,606,340.19,91.98,293.68,50,Run1
driver_irqlpspassive_0.bpl.bpl.txt,OK,OK,OK,366,9,9,3.77,0.86,0.73,100,Run1
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,ReachedBound,TIMEDOUT,0,5702,0,3600.0,3256.39,3600.0,50,Run1
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2676,2194,895,127.66,85.87,156.14,50,Run1
cyzport_irqlreturn_0.bpl.bpl.txt,TIMEDOUT,ReachedBound,ReachedBound,0,5215,839,3600.0,1475.47,244.78,100,Run1
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,TIMEDOUT,6553,6183,0,1688.82,981.38,3600.0,50,Run1
flpydisk_irqlexapclte1_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2437,873,218,2319.19,484.32,447.44,100,Run1
sys_pendedcompletedrequest3_6.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,1591,644,272,61.18,25.82,72.93,50,Run1
serenum_markirppending_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
sbp2port_spinlocksafe_0.bpl.bpl.txt,NOK,NOK,NOK,855,1753,225,7.31,32.11,13.98,0,Run1
61883_pendedcompletedrequest3_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
driver_irqliopassive5_1.bpl.bpl.txt,OK,OK,OK,367,10,9,3.79,0.91,0.8,100,Run1
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,7139,6514,0,87.35,101.21,3600.0,0,Run1
kbdclass_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,NOK,NOK,9405,8439,332,191.83,193.28,251.65,0,Run1
sbp2port_doublecompletion_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
serial_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
avc_ioreuseirp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
serial_irqlzwpassive_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
usbccgp_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,NOK,577,532,148,3.81,6.37,11.69,0,Run1
mouser_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,6258,3727,0,1171.59,589.96,3600.0,50,Run1
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,ReachedBound,OK,4214,3585,930,240.5,293.53,523.63,0,Run1
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,TIMEDOUT,16033,14858,0,2663.54,1972.73,3600.0,50,Run1
61883_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
sys_removelockforwarddevicecontrol_0.bpl.bpl.txt,OK,OK,OK,49,31,30,0.82,1.79,1.77,0,Run1
mouser_iobuilddevicecontrolwait_1.bpl.bpl.txt,ReachedBound,ReachedBound,OK,4340,4636,2274,802.71,532.87,1675.17,50,Run1
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMEDOUT,NOK,TIMEDOUT,0,1416,0,3600.0,33.67,3600.0,50,Run1
1394vdev_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,3671,612,1852,55.03,7.31,1551.86,50,Run1
kbdclass_nsremovelockmnremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,5349,3626,2516,231.5,192.76,1751.34,50,Run1
mxport_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
usbprint_completerequest_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,915,1066,0,7.91,11.27,3600.0,0,Run1
61883_removelockreleasedevicecontrol_1.bpl.bpl.txt,NOK,NOK,NOK,2692,962,42,22.43,9.82,3.12,100,Run1
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,TIMEDOUT,14863,13183,0,1119.13,394.6,3600.0,50,Run1
mouser_removelockreleasepnp_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,NOK,54532,277,69,426.62,3.68,3.07,100,Run1
mp_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4026,3766,1629,402.33,294.9,215.82,100,Run1
hw_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,1628,1331,151,10.82,18.24,15.18,0,Run1
usbccgp_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,NOK,738,345,88,6.69,6.72,14.77,0,Run1
driver_irqliopassive1_1.bpl.bpl.txt,OK,OK,OK,358,10,9,3.97,0.91,0.74,100,Run1
parzip_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
modem_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
serial_pagedcode_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
mouser_removelockforward2_0.bpl.bpl.txt,NOK,NOK,TIMEDOUT,2025,4613,0,59.57,1674.95,3600.0,0,Run1
driver_irqlzwpassive_1.bpl.bpl.txt,OK,OK,OK,690,90,45,12.07,2.41,2.32,100,Run1
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
filter_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE,Run1
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt,TIMEDOUT,NOK,NOK,0,9027,195,3600.0,178.85,42.86,100,Run1
61883_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,NOK,16467,6164,164,223.76,83.59,16.91,100,Run1
