Name,OutCome,RunTime,InlinedProcesures
61883_forwardedatbadirqlallocate_1.bpl.bpl.txt,ReachedBound,775.28,5850
mouser_removelockforward2_0.bpl.bpl.txt,NOK,1674.95,4613
sys_removelockforwarddevicecontrol2_0.bpl.bpl.txt,OK,1.52,46
sys_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,3600,0
sys_irqlzwpassive_3.bpl.bpl.txt,ReachedBound,2778.19,6775
driver_irqlapclte_0.bpl.bpl.txt,OK,0.85,10
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,TIMEDOUT,3600,0
sys_removelockreleasedevicecontrol_4.bpl.bpl.txt,OK,1.42,35
kbdclass_powerdownallocate_1.bpl.bpl.txt,ReachedBound,220.49,1288
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,264.88,923
cyzport_irqlreturn_0.bpl.bpl.txt,ReachedBound,1475.47,5215
61883_irqlreturn_1.bpl.bpl.txt,ReachedBound,276.99,3554
61883_multremovelock_0.bpl.bpl.txt,ReachedBound,701.91,6841
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,ReachedBound,847.33,6018
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,3600,0
mouser_iobuilddevicecontrolwait_0.bpl.bpl.txt,ReachedBound,525.6,4550
crcfilter_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,3600,0
hw_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,3600,0
driver_irqlzwpassive_1.bpl.bpl.txt,OK,2.41,90
avc_lowerdriverreturn_0.bpl.bpl.txt,NOK,179.41,4756
serial_markingqueuedirps_2.bpl.bpl.txt,ReachedBound,408.0,6501
sbp2port_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,29.98,2380
1394vdev_markirppending_0.bpl.bpl.txt,OK,394.6,13183
mouser_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,1068.51,5994
