Name,Vanilla_OutCome,UW_Outcome,Vanilla_TotalSplits,UW_TotalSplits,Vanilla_RunTime,UW_RunTime,Who Performed Better,By How Much %?
linux-torvalds-645ef9e-32_7a-sound--oss--sound.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,12,146,244.691318,131.512009,UW,86.0600563101
linux-stable-431e8d4-1-102_1a-drivers--net--r8169.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,49,77,193.613092,147.218524,UW,31.5140831055
linux-4.0-rc1---drivers--media--usb--gspca--gspca_main.ko.cil.i.bpl.txt,NOK,NOK,156,63,404.800407,29.382232,UW,1277.70475368
linux-3.12-rc1.tar.xz-144_2a-drivers--input--touchscreen--usbtouchscreen.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,29,27,36.554048,15.539979,UW,135.225851978
205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wireless--rtlwifi--rtl8723be--rtl8723be.ko-entry_point.cil.out.i.bpl.txt,NOK,TIMEDOUT,8,140,225.032981,900.0,Vanilla,299.941375704
linux-3.12-rc1.tar.xz-144_2a-drivers--media--usb--gspca--gspca_main.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,15,190,37.261416,111.594853,Vanilla,199.491712822
linux-stable-073676f-1-114_1a-drivers--net--b44.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,18,252,449.040142,218.870083,UW,105.162869153
linux-4.0-rc1---drivers--block--rsxx--rsxx.ko.cil.i.bpl.txt,NOK,NOK,145,232,241.295444,421.879466,Vanilla,74.8393832086
linux-4.2-rc1.tar.xz-32_7a-drivers--ata--libata.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,2,77,900.0,900.0,TIMED-OUT,TIMED-OUT
linux-stable-4a349aa-1-32_7a-drivers--media--video--tlg2300--poseidon.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,69,59,499.452939,70.368841,UW,609.764338736
32_7_cilled_const_ok_linux-32_1-drivers--gpu--drm--vmwgfx--vmwgfx.ko-ldv_main3_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,19,18,51.450551,34.570076,UW,48.8297306607
linux-stable-4ee267b-1-130_7a-drivers--hwmon--ibmaem.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,NOK,NOK,16,185,28.47784,24.157374,UW,17.8846674312
linux-3.8-rc1-32_7a-drivers--net--wireless--mwl8k.ko-ldv_main0.cil.out.i.bpl.txt,NOK,NOK,2,17,53.04754,56.96961,Vanilla,7.39350024525
43_1a_cilled_ok_linux-43_1a-drivers--scsi--dpt_i2o.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,10,20,28.451811,23.490233,UW,21.1218764837
32_7a_cilled_linux-3.8-rc1-32_7a-drivers--media--dvb-frontends--stv090x.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,2,8,25.64445,26.370837,Vanilla,2.83253101548
linux-4.2-rc1.tar.xz-08_1a-drivers--md--dm-multipath.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,NOK,47,175,900.0,83.903333,UW,972.662989443
