Name,OR_OutCome,splitOnDemand_Outcome,OR_TotalSplits,splitOnDemand_TotalSplits,OR_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not OR,OR TimedOut but not splitOnDemand
mouser_removelockforward2_1.bpl.bpl.txt,NOK,NOK,30,29,19.420045,88.71124,OR,356.8024430427427,0,0
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,22,61,16.51079,492.641107,OR,2883.7524854958483,0,0
sys_markirppending_6.bpl.bpl.txt,NOK,NOK,26,28,17.584042,15.495285000000003,splitOnDemand,13.479952127372922,0,0
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2044,69,3597.860323,3597.814439,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,352,10,3596.908775,3597.094596,TIMED-OUT,TIMED-OUT,0,0
serial_irqlzwpassive_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,91,75,3597.809006,3597.661205,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2276,18,3597.993596,3597.808004,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,NOK,30,28,9.312313,11.262691,OR,20.944076944149113,0,0
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,74,41,85.94535599999999,193.436507,OR,125.0691788396339,0,0
hw_markstartdevice_0.bpl.bpl.txt,NOK,TIMEDOUT,1177,87,1925.995515,3597.939477,OR,86.8093382865432,1,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,107,132,145.797996,2773.886686,OR,1802.5547415617425,0,0
sys_removelockforwarddevicecontrol_0.bpl.bpl.txt,OK,OK,6,14,6.8047509999999996,8.284106,OR,21.740031339868278,0,0
