Name,OR_OutCome,alpha150_Every_Outcome,OR_TotalSplits,alpha150_Every_TotalSplits,OR_RunTime,alpha150_Every_RunTime,Who Performed Better,By How Much Percentage,alpha150_Every TimedOut but not OR,OR TimedOut but not alpha150_Every
serial_pendedcompletedrequest3_1.bpl.bpl.txt,NOK,NOK,105,36,103.17367700000001,26.196349,alpha150_Every,293.8475434114884,0,0
sys_zwregistrycreate_0.bpl.bpl.txt,OK,TIMEDOUT,29,157,301.75553299999996,3598.609611,OR,TIMED-OUT,1,0
daytona_removelockrelease2_1.bpl.bpl.txt,NOK,NOK,85,72,88.11917199999999,98.867614,OR,12.197620286309558,0,0
hw_irqlexallocatepool_0.bpl.bpl.txt,OK,TIMEDOUT,1433,247,3017.6120849999998,3597.624898,OR,TIMED-OUT,1,0
61883_markqueryrelations_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2369,330,3598.430551,3598.15422,TIMED-OUT,TIMED-OUT,0,0
sbp2port_completerequest_1.bpl.bpl.txt,NOK,NOK,138,91,165.512755,205.40633400000002,OR,24.103023963319334,0,0
mp_irqlkedispatchlte_0.bpl.bpl.txt,OK,OK,68,83,89.66592999999999,456.486452,OR,409.09687994090956,0,0
hw_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2011,516,3597.249444,3597.731401,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1107,211,3597.972557,3597.553014,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2221,339,3597.861743,3597.684772,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,74,67,85.94535599999999,254.156048,OR,195.71818633225513,0,0
sbp2port_irqlkeraiselower2_0.bpl.bpl.txt,NOK,NOK,36,59,29.232714999999995,103.105891,OR,252.707201503521,0,0
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,OK,11,109,14.629639000000001,468.772053,OR,3104.262613725465,0,0
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,110,163,117.091184,564.95654,OR,382.49280663179564,0,0
tffsport_spinlocksafe_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1472,71,3597.324526,3597.162855,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_0.bpl.bpl.txt,NOK,TIMEDOUT,757,210,1470.221352,3597.675806,OR,TIMED-OUT,1,0
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1883,285,3597.417025,3597.800628,TIMED-OUT,TIMED-OUT,0,0
61883_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,25,44,11.763058000000001,56.764438,OR,382.5653159238014,0,0
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2250,265,3598.462486,3598.364855,TIMED-OUT,TIMED-OUT,0,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,107,183,145.797996,1343.892668,OR,821.7497529938614,0,0
driver_markingqueuedirps_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2372,164,3596.381006,3596.250192,TIMED-OUT,TIMED-OUT,0,0
61883_completerequest_0.bpl.bpl.txt,NOK,NOK,21,42,15.716148,61.74387599999999,OR,292.86901599552255,0,0
sbp2port_irqliopassive4_1.bpl.bpl.txt,OK,OK,72,152,97.608802,549.009988,OR,462.45950851850444,0,0
Imapi_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,356,356,3598.355346,3598.121716,TIMED-OUT,TIMED-OUT,0,0
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,OK,2269,304,3598.58917,3101.135153,alpha150_Every,TIMED-OUT,0,1
usbccgp_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,25,31,15.943424,24.342323999999998,OR,52.679399356123234,0,0
avc_pagedcode_0.bpl.bpl.txt,OK,OK,57,153,72.246304,422.566333,OR,484.8968176974147,0,0
modem_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2485,222,3598.125324,3598.129771,TIMED-OUT,TIMED-OUT,0,0
daytona_completerequeststatuscheck_0.bpl.bpl.txt,OK,OK,131,98,201.86358,298.544509,OR,47.89419121567149,0,0
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,124,136,167.88046699999998,2855.876514,OR,1601.136865434143,0,0
sys_markirppending_6.bpl.bpl.txt,NOK,NOK,26,25,17.584042,13.624709,alpha150_Every,29.059945427091332,0,0
sbp2port_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,62,84,62.36536300000001,194.941678,OR,212.5800422263236,0,0
modem_completerequest_0.bpl.bpl.txt,NOK,NOK,95,158,101.24828600000001,784.931082,OR,675.2536986156979,0,0
sbp2port_irqlkeraiselower_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1241,286,3597.970092,3596.47909,TIMED-OUT,TIMED-OUT,0,0
usbccgp_irqlioapclte_0.bpl.bpl.txt,OK,TIMEDOUT,200,222,260.185487,3597.201559,OR,TIMED-OUT,1,0
61883_removelockrelease2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1037,404,3597.378221,3597.844469,TIMED-OUT,TIMED-OUT,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,OK,TIMEDOUT,60,193,718.266666,3598.466529,OR,TIMED-OUT,1,0
kbdclass_multremovelock_1.bpl.bpl.txt,NOK,NOK,41,25,44.477601,30.032923,alpha150_Every,48.096144354647066,0,0
61883_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2141,264,3597.641398,3597.461173,TIMED-OUT,TIMED-OUT,0,0
parzip_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,OK,75,129,23.845439,218.07121,OR,814.519585904877,0,0
