Name,UW_OutCome,splitOnDemand_Outcome,UW_TotalSplits,splitOnDemand_TotalSplits,UW_RunTime,splitOnDemand_RunTime,Who Performed Better,By How Much Percentage,splitOnDemand TimedOut but not UW,UW TimedOut but not splitOnDemand
sbp2port_markingqueuedirps_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,775,53,3596.946785,3596.933272,TIMED-OUT,TIMED-OUT,0,0
kbdclass_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1535,55,3598.396601,3598.447608,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockmnsurpriseremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1132,19,3598.740857,3598.728751,TIMED-OUT,TIMED-OUT,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1673,67,3597.56396,3597.662218,TIMED-OUT,TIMED-OUT,0,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,TIMEDOUT,OK,2022,132,3597.907478,2773.886686,splitOnDemand,TIMED-OUT,0,1
flpydisk_irqlexapclte1_0.bpl.bpl.txt,TIMEDOUT,OK,2079,128,3598.390256,950.488343,splitOnDemand,TIMED-OUT,0,1
kbdclass_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1177,14,3598.493165,3598.472783,TIMED-OUT,TIMED-OUT,0,0
usbccgp_completerequest_0.bpl.bpl.txt,NOK,NOK,114,10,172.715247,483.921456,UW,180.1845606601251,0,0
driver_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1365,29,3598.492394,3598.577539,TIMED-OUT,TIMED-OUT,0,0
serial_pendedcompletedrequest3_1.bpl.bpl.txt,NOK,NOK,26,31,24.656346,29.376195,UW,19.142532311965446,0,0
sys_pendedcompletedrequest3_6.bpl.bpl.txt,TIMEDOUT,OK,1283,120,3597.75961,602.253383,splitOnDemand,TIMED-OUT,0,1
driver_completerequest_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1014,33,3593.878137,3593.687678,TIMED-OUT,TIMED-OUT,0,0
sys_markirppending_6.bpl.bpl.txt,NOK,NOK,19,28,11.021963,15.495285000000003,UW,40.58552909313888,0,0
61883_removelockreleaseinternaldevicecontrol_1.bpl.bpl.txt,NOK,NOK,69,17,103.27530300000001,91.61357699999999,splitOnDemand,12.729255184523597,0,0
cyzport_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,35,21,27.433207,26.679552,splitOnDemand,2.824841286690265,0,0
61883_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,30,19,27.410164,33.207742999999994,UW,21.151201430243145,0,0
serial_irqlexallocatepool_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1196,61,3597.598169,3597.396609,TIMED-OUT,TIMED-OUT,0,0
filter_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1489,130,3595.963952,3596.00961,TIMED-OUT,TIMED-OUT,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1862,117,3598.452717,3598.516432,TIMED-OUT,TIMED-OUT,0,0
usbccgp_removelockreleasepower_0.bpl.bpl.txt,NOK,NOK,21,15,14.196877,18.341693,UW,29.19526597293192,0,0
61883_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,30,20,24.058056,29.594377,UW,23.0123373226831,0,0
avc_ioreuseirp_1.bpl.bpl.txt,TIMEDOUT,NOK,703,28,3597.93612,1950.592143,splitOnDemand,TIMED-OUT,0,1
avc_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1353,21,3597.754653,3598.061486,TIMED-OUT,TIMED-OUT,0,0
winnt_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,33,28,28.560296,24.268466999999998,splitOnDemand,17.684796489205535,0,0
mouclass_powerdownallocate_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1664,133,3598.461942,3598.507242,TIMED-OUT,TIMED-OUT,0,0
