Name,OR_OutCome,AlphaDecay_Outcome,OR_TotalSplits,AlphaDecay_TotalSplits,OR_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not OR,OR TimedOut but not AlphaDecay
mp_irqlkeapclte2_0.bpl.bpl.txt,OK,OK,68,77,74.029237,103.50348000000001,OR,39.814327682453374,0,0
61883_removelockreleasepnp_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,157,225,3596.344757,3596.362505,TIMED-OUT,TIMED-OUT,0,0
kbdclass_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,980,986,3598.543806,3598.595021,TIMED-OUT,TIMED-OUT,0,0
winnt_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,29,24,16.189594,9.870655000000001,AlphaDecay,64.017423362482,0,0
avc_ioreuseirp_1.bpl.bpl.txt,NOK,NOK,146,104,157.245311,133.046895,AlphaDecay,18.187884805579248,0,0
Imapi_removelockrelease2_0.bpl.bpl.txt,TIMEDOUT,OK,343,169,3598.527603,2287.179023,AlphaDecay,TIMED-OUT,0,1
61883_forwardedatbadirqlallocate_0.bpl.bpl.txt,OK,OK,33,47,32.656738,59.992616,OR,83.70670089584577,0,0
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,129,117,185.795908,157.180485,AlphaDecay,18.205455340082448,0,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,107,107,145.797996,151.56803100000002,OR,3.9575543960151593,0,0
sbp2port_pendedcompletedrequest2_1.bpl.bpl.txt,NOK,NOK,20,18,10.148059,9.651038,AlphaDecay,5.149922733699734,0,0
serial_irqlzwpassive_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,91,125,3597.809006,3597.880569,TIMED-OUT,TIMED-OUT,0,0
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,OK,166,123,266.17701,171.79543800000002,AlphaDecay,54.93834591812616,0,0
kbdclass_removelockmnsurpriseremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,492,960,3598.541121,3598.35051,TIMED-OUT,TIMED-OUT,0,0
serial_pendedcompletedrequest3_2.bpl.bpl.txt,OK,OK,145,171,156.87114,261.073998,OR,66.42576703401278,0,0
sys_completerequest_6.bpl.bpl.txt,NOK,NOK,36,36,31.315161999999997,28.860008,AlphaDecay,8.507114758942537,0,0
mouser_removelockforward2_0.bpl.bpl.txt,NOK,NOK,57,56,32.178951,31.412284,AlphaDecay,2.440659838679665,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,OK,213,198,3597.773626,3546.7235840000003,AlphaDecay,TIMED-OUT,0,1
mxport_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,NOK,1240,810,3597.891008,2476.370847,AlphaDecay,TIMED-OUT,0,1
ppa3x_removelock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,133,130,3598.430693,3598.524915,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,882,726,3598.08627,3597.938803,TIMED-OUT,TIMED-OUT,0,0
61883_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2406,2302,3598.029494,3597.76556,TIMED-OUT,TIMED-OUT,0,0
serenum_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1309,997,3598.591486,3598.552016,TIMED-OUT,TIMED-OUT,0,0
sys_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,46,51,40.384722,42.905981000000004,OR,6.243101042022793,0,0
61883_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,NOK,23,19,16.021658000000002,10.282656,AlphaDecay,55.812447678887665,0,0
sbp2port_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,230,251,3597.143096,3597.236067,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,22,19,14.418900999999998,15.612953000000001,OR,8.281158182582729,0,0
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,OK,11,22,14.629639000000001,25.963467,OR,77.47168607509727,0,0
61883_removelock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,860,1053,3597.707963,3597.388675,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1883,1829,3597.417025,3597.826277,TIMED-OUT,TIMED-OUT,0,0
mp_irqlexpassive_0.bpl.bpl.txt,OK,OK,390,192,1008.789604,555.522108,AlphaDecay,81.59306163923183,0,0
61883_forwardedatbadirqlallocate_1.bpl.bpl.txt,OK,OK,80,103,163.03729800000002,183.61217599999998,OR,12.619736865364361,0,0
driver_irqlkedispatchlte_1.bpl.bpl.txt,OK,OK,437,636,983.716691,1741.5600220000001,OR,77.03877934912462,0,0
usbccgp_irqliopassive3_0.bpl.bpl.txt,OK,OK,142,132,189.816343,179.34551,AlphaDecay,5.838358038626113,0,0
hw_markstartdevice_0.bpl.bpl.txt,NOK,NOK,1177,624,1925.995515,964.150221,AlphaDecay,99.76093694221122,0,0
kbdclass_powerdownallocate_1.bpl.bpl.txt,OK,OK,237,456,555.170448,1000.403728,OR,80.19758285116791,0,0
61883_removelockreleasedevicecontrol_1.bpl.bpl.txt,NOK,NOK,27,25,11.512394,23.046001999999998,OR,100.18427096918327,0,0
usbccgp_irqlioapclte_0.bpl.bpl.txt,OK,OK,200,174,260.185487,253.643307,AlphaDecay,2.5792835132842793,0,0
modem_pendedcompletedrequest2_0.bpl.bpl.txt,NOK,NOK,99,52,71.231212,56.181095,AlphaDecay,26.78857896949143,0,0
parzip_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,1258,1078,2217.530947,1916.829257,AlphaDecay,15.687453063535962,0,0
scsiscan_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,22,24,13.502837,11.170391,AlphaDecay,20.880611967835318,0,0
modem_pendedcompletedrequest_0.bpl.bpl.txt,NOK,NOK,75,78,79.317966,91.351826,OR,15.171669934148344,0,0
driver_completerequest_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2118,1782,3594.287277,3593.816558,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,631,258,911.124159,411.358787,AlphaDecay,121.49135688695037,0,0
avc_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2276,2217,3597.993596,3597.825766,TIMED-OUT,TIMED-OUT,0,0
cyzport_irqlreturn_0.bpl.bpl.txt,OK,OK,80,88,97.24958199999999,155.916662,OR,60.3263055670512,0,0
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,99,122,3597.458695,3597.821729,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2221,2150,3597.861743,3597.70289,TIMED-OUT,TIMED-OUT,0,0
sys_zwregistryopen_0.bpl.bpl.txt,OK,TIMEDOUT,56,87,2947.80437,3598.533267,OR,TIMED-OUT,1,0
mouclass_signaleventincompletion_1.bpl.bpl.txt,OK,OK,115,100,141.062,135.270308,AlphaDecay,4.281569315270586,0,0
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,OK,OK,96,116,103.81050599999999,146.355695,OR,40.983509896387574,0,0
sbp2port_completerequest_0.bpl.bpl.txt,NOK,NOK,20,18,9.297831,8.301193000000001,AlphaDecay,12.005961070896664,0,0
partmgr_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,230,257,3598.572701,3598.55793,TIMED-OUT,TIMED-OUT,0,0
sbp2port_doublecompletion_0.bpl.bpl.txt,NOK,NOK,22,18,9.526305,7.675000000000001,AlphaDecay,24.121237785016284,0,0
avc_pendedcompletedrequest_1.bpl.bpl.txt,OK,OK,100,137,132.18149899999997,215.717706,OR,63.19810838277756,0,0
sbp2port_completerequest_1.bpl.bpl.txt,NOK,NOK,138,271,165.512755,371.479093,OR,124.44136888422888,0,0
mouser_removelockforward2_1.bpl.bpl.txt,NOK,NOK,30,48,19.420045,24.829849,OR,27.85680465724977,0,0
sys_removelockforwarddevicecontrol_0.bpl.bpl.txt,OK,OK,6,8,6.8047509999999996,6.912419000000001,OR,1.5822474621040683,0,0
driver_irqliopassive3_2.bpl.bpl.txt,OK,OK,1,2,1.7343829999999993,2.01446,OR,16.14850929696618,0,0
serial_irqlzwpassive_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,92,165,3597.859369,3597.75562,TIMED-OUT,TIMED-OUT,0,0
kbdclass_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,34,20,28.594344,15.170074,AlphaDecay,88.49178982251505,0,0
usbccgp_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2426,2260,3597.333402,3597.356792,TIMED-OUT,TIMED-OUT,0,0
ppa3x_completerequest_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,360,547,3598.454683,3598.553743,TIMED-OUT,TIMED-OUT,0,0
61883_completerequeststatuscheck_0.bpl.bpl.txt,NOK,NOK,30,26,19.178405,11.696407,AlphaDecay,63.96834515078007,0,0
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,NOK,74,1194,96.60401,2097.611988,OR,2071.350845580841,0,0
mouser_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,86,86,53.21921,57.795169,OR,8.598321921727145,0,0
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,TIMEDOUT,OK,2459,545,3596.56253,968.736986,AlphaDecay,TIMED-OUT,0,1
driver_irqlkesetevent_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1899,1778,3593.684658,3593.855666,TIMED-OUT,TIMED-OUT,0,0
sbp2port_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,28,17,8.855081,5.541858,AlphaDecay,59.78541853652691,0,0
winnt_completerequest_0.bpl.bpl.txt,NOK,NOK,36,28,32.022573,22.334111,AlphaDecay,43.379662615628625,0,0
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,137,483,178.447964,664.920911,OR,272.6133356164265,0,0
driver_markingqueuedirps_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2372,2263,3596.381006,3596.363247,TIMED-OUT,TIMED-OUT,0,0
mp_irqlreturn_0.bpl.bpl.txt,OK,OK,53,64,45.2562,106.30144499999999,OR,134.88813687406363,0,0
61883_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2096,1925,3597.945658,3597.761238,TIMED-OUT,TIMED-OUT,0,0
61883_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,46,21,42.811934,14.154023000000002,AlphaDecay,202.4718413980251,0,0
mouser_removelockmnsurpriseremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,739,612,3598.679412,3598.662129,TIMED-OUT,TIMED-OUT,0,0
sys_pendedcompletedrequest3_6.bpl.bpl.txt,OK,OK,86,71,93.71635,100.53671600000001,OR,7.27766926475477,0,0
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMEDOUT,NOK,1936,603,3597.871334,892.602582,AlphaDecay,TIMED-OUT,0,1
mouser_removelockreleasecreate_1.bpl.bpl.txt,TIMEDOUT,NOK,339,73,3598.690152,33.539071,AlphaDecay,TIMED-OUT,0,1
tffsport_spinlocksafe_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1472,308,3597.324526,3597.357783,TIMED-OUT,TIMED-OUT,0,0
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2044,1928,3597.860323,3597.744333,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,38,44,22.490657,32.487341,OR,44.448163519633965,0,0
mouser_removelock_0.bpl.bpl.txt,NOK,TIMEDOUT,38,434,26.402462,3598.475668,OR,TIMED-OUT,1,0
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,OK,OK,113,78,215.00129700000002,191.22149299999998,AlphaDecay,12.435738068418932,0,0
cyzport_irqlkesetevent_0.bpl.bpl.txt,NOK,NOK,31,47,27.553139,44.289476,OR,60.742033784245045,0,0
sbp2port_irqlkeraiselower_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1241,1454,3597.970092,3597.920006,TIMED-OUT,TIMED-OUT,0,0
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,124,136,167.88046699999998,185.340886,OR,10.400506569951364,0,0
61883_markqueryrelations_1.bpl.bpl.txt,NOK,NOK,31,37,21.465047,18.254615,AlphaDecay,17.586960886329276,0,0
mouser_completerequest_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1416,1649,3598.459979,3598.426708,TIMED-OUT,TIMED-OUT,0,0
serial_markingqueuedirps_0.bpl.bpl.txt,OK,TIMEDOUT,619,1805,1360.4481680000001,3597.607009,OR,TIMED-OUT,1,0
61883_ioreleaseremovelockandwaitoutsideremovedevice_0.bpl.bpl.txt,NOK,NOK,33,35,21.925458,22.971743999999997,OR,4.7720143405898225,0,0
serenum_completerequest_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1458,1300,3598.473298,3598.682307,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1050,1153,3597.835153,3597.759531,TIMED-OUT,TIMED-OUT,0,0
61883_multremovelock_1.bpl.bpl.txt,OK,OK,82,120,226.42271200000002,309.260332,OR,36.58538459693035,0,0
serial_zwregistryopen_2.bpl.bpl.txt,OK,TIMEDOUT,194,111,2229.7082920000003,3597.980346,OR,TIMED-OUT,1,0
avc_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,NOK,123,105,133.552576,116.969384,AlphaDecay,14.177378244549857,0,0
61883_removelockrelease2_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1037,1349,3597.378221,3597.649116,TIMED-OUT,TIMED-OUT,0,0
ppa3x_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,114,108,3598.703836,3598.572013,TIMED-OUT,TIMED-OUT,0,0
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,103,99,150.684762,132.14937,AlphaDecay,14.026091838349286,0,0
61883_pendedcompletedrequest_1.bpl.bpl.txt,NOK,NOK,25,33,11.832170999999999,26.270577,OR,122.02668470562166,0,0
hw_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,1433,1316,3017.6120849999998,2801.665993,AlphaDecay,7.7077743221191914,0,0
winnt_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2575,2245,3598.505558,3598.457354,TIMED-OUT,TIMED-OUT,0,0
avc_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,932,1451,3597.992697,3597.972349,TIMED-OUT,TIMED-OUT,0,0
tffsport_spinlockrelease_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1823,1155,3597.362859,3597.256931,TIMED-OUT,TIMED-OUT,0,0
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,NOK,27,20,11.799018,15.958947,OR,35.25656965689857,0,0
61883_multremovelock_0.bpl.bpl.txt,OK,OK,69,106,172.94313599999998,295.78645,OR,71.03104340608235,0,0
daytona_removelock_0.bpl.bpl.txt,NOK,NOK,57,81,61.254633999999996,92.913596,OR,51.684190946271926,0,0
mouclass_multremovelock_0.bpl.bpl.txt,NOK,NOK,47,57,52.771246,46.848196,AlphaDecay,12.643069543168743,0,0
tffsport_checkdeviceobjectflags_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,345,555,3595.538671,3595.211135,TIMED-OUT,TIMED-OUT,0,0
