OR_Slpits,UW_Splits,Who_Performed_Better
72,2125,OR
149,18,UW
101,1191,OR
142,1809,OR
72,204,OR
21,19,UW
556,1136,OR
329,426,OR
129,188,OR
1646,911,TIMED-OUT
2300,1173,TIMED-OUT
1130,1041,TIMED-OUT
103,543,OR
27,72,OR
336,800,TIMED-OUT
93,112,OR
60,741,OR
1823,709,TIMED-OUT
36,404,OR
27,161,OR
60,1424,OR
2322,1238,TIMED-OUT
1472,86,TIMED-OUT
36,48,OR
193,2326,OR
339,257,UW
82,2326,OR
99,1171,TIMED-OUT
60,1862,OR
41,34,UW
360,1193,TIMED-OUT
1741,1746,TIMED-OUT
25,30,OR
518,928,TIMED-OUT
73,410,OR
200,1895,OR
269,234,UW
208,1602,OR
166,2380,OR
2269,1534,TIMED-OUT
932,773,TIMED-OUT
165,558,OR
443,176,UW
243,1202,TIMED-OUT
671,2101,OR
38,536,OR
12,90,OR
2346,1106,TIMED-OUT
29,234,OR
27,61,OR
1994,1299,TIMED-OUT
1309,1710,TIMED-OUT
80,1806,OR
110,142,OR
1,24,OR
757,1001,OR
31,32,OR
803,1410,TIMED-OUT
33,45,OR
75,1059,OR
246,572,UW
237,224,TIMED-OUT
29,133,OR
33,38,OR
1658,1218,TIMED-OUT
565,73,UW
2097,1350,TIMED-OUT
34,26,UW
2372,1871,TIMED-OUT
53,1089,OR
1593,547,TIMED-OUT
437,1365,OR
299,1664,OR
2221,1038,TIMED-OUT
269,437,TIMED-OUT
27,57,OR
74,120,OR
166,1492,TIMED-OUT
227,1535,OR
158,1121,OR
107,2022,OR
108,637,OR
2230,1177,TIMED-OUT
115,2232,OR
1,19,OR
30,29,UW
33,2168,OR
2145,1353,TIMED-OUT
389,1237,OR
99,529,OR
301,509,OR
248,1002,OR
174,1647,TIMED-OUT
62,99,OR
1050,994,TIMED-OUT
2096,1418,TIMED-OUT
150,1232,OR
56,175,OR
648,1132,TIMED-OUT
