Name,Vanilla_OutCome,UW_Outcome,Vanilla_TotalSplits,UW_TotalSplits,Vanilla_RunTime,UW_RunTime,Who Performed Better,By How Much Percentage,UW TimedOut but not Vanilla,Vanilla TimedOut but not UW
linux-4.2-rc1.tar.xz-08_1a-drivers--block--loop.ko-entry_point.cil.out.i.bpl.txt,NOK,TIMEDOUT,41,499,491.934076,890.647868,Vanilla,81.0502486922658,1,0
main11_drivers-usb-core-usbcore-ko--32_7a--linux-3.7.3.i.bpl.txt,NOK,NOK,2,31,39.486901,63.643397,Vanilla,61.175973267692,0,0
linux-stable-2b9ec6c-1-106_1a-drivers--usb--gadget--g_printer.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,TIMEDOUT,NOK,17,213,890.460812,269.550071,UW,230.350798534941,0,1
32_7_cilled_const_ok_linux-32_1-drivers--usb--storage--usb-storage.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,2,40,878.711426,875.337194,UW,0.38547796473504,0,0
linux-4.2-rc1.tar.xz-08_1a-drivers--atm--atmtcp.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,22,159,117.68749,26.474236,UW,344.535925418207,0,0
linux-4.0-rc1---drivers--input--touchscreen--usbtouchscreen.ko.cil.i.bpl.txt,TIMEDOUT,NOK,134,50,890.794635,25.889568,UW,3340.7473890642,0,1
module_get_put-drivers-net-ppp_generic.ko.cil.out.i.bpl.txt,NOK,NOK,7,20,5.239094,2.943182,UW,78.0078160304052,0,0
linux-4.2-rc1.tar.xz-08_1a-drivers--video--console--fbcon.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,23,509,859.227186,859.045037,UW,0.02120366129302,0,0
linux-stable-2b9ec6c-1-106_1a-drivers--usb--gadget--g_printer.ko-entry_point.cil.out.i.bpl.txt,TIMEDOUT,NOK,20,94,890.362766,175.847256,UW,406.327358329663,0,1
linux-4.2-rc1.tar.xz-08_1a-drivers--iio--imu--inv_mpu6050--inv-mpu6050.ko-entry_point.cil.out.i.bpl.txt,NOK,TIMEDOUT,7,170,80.799316,889.668491,Vanilla,1001.08418615821,1,0
linux-3.12-rc1.tar.xz-144_2a-drivers--media--usb--tlg2300--poseidon.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,66,49,679.575699,55.394323,UW,1126.79665026324,0,0
205_9a_array_unsafes_linux-3.16-rc1.tar.xz-205_9a-drivers--net--wireless--rsi--rsi_91x.ko-entry_point.cil.out.i.bpl.txt,NOK,NOK,8,35,26.459352,10.513674,UW,151.66608742101,0,0
linux-stable-5934df9-1-111_1a-drivers--scsi--gdth.ko-entry_point_ldv-val-v0.8.cil.out.i.bpl.txt,TIMEDOUT,TIMEDOUT,2,168,424.544374,424.226816,UW,0.074855711148637,0,0
32_7a_cilled_linux-3.8-rc1-32_7a-drivers--net--can--softing--softing.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.i.bpl.txt,NOK,NOK,2,11,1.677261,2.428592,Vanilla,44.7951153696413,0,0
