Name,70/Run2_OutCome,70/Run5_Outcome,70/Run2_InlinedProcedures,70/Run5_InlinedProcedures,70/Run2_RunTime,70/Run5_RunTime,Who Performed Better,By How Much Percentage,70/Run5 TimedOut but not 70/Run2,70/Run2 TimedOut but not 70/Run5
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,2948,2977,304.44,322.96,70/Run2,-6.083300486138478,0,0
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,ReachedBound,5840,5695,1070.2,1233.99,70/Run2,-15.304615959633711,0,0
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,749,2414,55.1,190.94,70/Run2,-246.53357531760435,0,0
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,6257,6084,1373.0,1297.5,70/Run5,5.81888246628131,0,0
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,1475,1389,1718.19,442.6,70/Run5,288.2037957523724,0,0
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,2505,2478,192.01,199.67,70/Run2,-3.989375553356594,0,0
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,7732,8129,291.98,292.43,70/Run2,-0.1541201452154218,0,0
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,6822,7115,1115.3,1226.42,70/Run2,-9.963238590513775,0,0
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,6877,7169,526.33,598.16,70/Run2,-13.647331522048889,0,0
mouser_completerequest_0.bpl.bpl.txt,Inconclusive,NOK,0,2193,3600.0,303.31,70/Run5,1086.9044871583528,0,0
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,2365,2348,128.32,126.37,70/Run5,1.5430877581704427,0,0
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,ReachedBound,6045,6085,340.75,382.35,70/Run2,-12.208363903154812,0,0
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,3835,3689,2755.7,2306.9,70/Run5,19.45467943994103,0,0
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,ReachedBound,3111,3084,567.33,539.09,70/Run5,5.238457400434067,0,0
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,4980,5002,145.53,163.22,70/Run2,-12.15556929842644,0,0
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,4193,4192,300.42,288.06,70/Run5,4.290772755675905,0,0
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,4048,4407,195.83,130.93,70/Run5,49.56847170243642,0,0
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,31194,40531,1095.16,1591.84,70/Run2,-45.35227729281564,0,0
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,1768,931,42.44,32.35,70/Run5,31.190108191653778,0,0
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,TIMEDOUT,ReachedBound,0,3728,3600.0,2897.16,70/Run5,24.25961976556352,0,1
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,4432,4347,256.43,274.64,70/Run2,-7.101353195803915,0,0
1394vdev_markirppending_0.bpl.bpl.txt,OK,ReachedBound,12758,12718,436.32,402.99,70/Run5,8.270676691729319,0,0
