UWQ,0.063323,ORQ,0.320828,3
UWQ,0.018862,ORQ,0.206727,1
UWQ,0.006025,ORQ,0.221721,1
UWQ,0.019371,ORQ,0.242052,1
UWQ,0.01289,ORQ,0.242568,1
UWQ,0.169348,ORQ,0.246781,1
UWQ,0.042065,ORQ,0.24593,2
UWQ,0.064488,ORQ,0.268185,1
UWQ,0.083905,ORQ,0.287424,1
UWQ,0.034867,ORQ,0.272406,1
UWQ,0.021686,ORQ,0.298373,1
UWQ,0.029552,ORQ,0.254646,1
UWQ,0.021076,ORQ,0.253651,9
UWQ,0.013229,ORQ,0.27843,3
UWQ,0.01396,ORQ,0.373912,9
UWQ,0.043638,ORQ,0.336868,4
UWQ,0.025498,ORQ,0.391808,8
UWQ,0.029862,ORQ,0.27788,4
UWQ,0.035609,ORQ,0.297285,9
UWQ,0.028312,ORQ,0.332191,4
UWQ,0.018818,ORQ,0.431921,9
UWQ,0.029727,ORQ,0.561223,4
UWQ,0.060718,ORQ,0.364131,1
UWQ,0.019942,ORQ,0.374794,1
UWQ,0.035361,ORQ,0.435536,1
UWQ,0.070607,ORQ,0.384207,1
UWQ,0.045885,ORQ,0.420753,1
UWQ,0.022704,ORQ,0.396447,1
UWQ,0.036721,ORQ,0.41072,1
UWQ,0.021023,ORQ,0.423315,1
UWQ,0.027267,ORQ,0.331859,10
UWQ,0.022223,ORQ,0.314103,3
UWQ,0.013314,ORQ,0.335245,9
UWQ,0.031747,ORQ,0.297428,4
UWQ,0.03791,ORQ,0.316842,9
UWQ,0.036438,ORQ,0.335155,3
UWQ,0.039172,ORQ,0.386544,9
UWQ,0.047382,ORQ,0.452738,4
UWQ,0.036055,ORQ,0.461803,12
UWQ,0.019352,ORQ,0.452218,10
UWQ,0.017071,ORQ,0.475247,14
UWQ,0.040216,ORQ,0.478088,7
UWQ,0.041741,ORQ,0.509755,8
UWQ,0.063136,ORQ,0.555324,5
UWQ,0.109517,ORQ,0.505245,16
UWQ,0.02078,ORQ,0.42768,9
UWQ,0.024735,ORQ,0.480603,4
UWQ,0.026102,ORQ,0.4363,15
UWQ,0.07694,ORQ,0.469057,12
UWQ,0.026126,ORQ,0.423365,11
UWQ,0.038809,ORQ,0.416602,18
UWQ,0.041179,ORQ,0.443685,4
UWQ,0.062571,ORQ,0.383758,4
