Filename,UW_Iterations_in_AlphaDecay,OR_Iterations_in_AlphaDecay,Verification_Time_in_AlphaDecay
usbccgp_irqliopassive3_0.bpl.bpl,576,5529,257.571278
serial_markingqueuedirps_1.bpl.bpl,895,16626,1061.168277
filter_completerequeststatuscheck_1.bpl.bpl,497,952,149.456438
hw_irqlkewaitformutexobject_0.bpl.bpl,915,4842,393.921567
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl,884,5273,185.310559
61883_pendedcompletedrequest_0.bpl.bpl,61,41,30.539167
mp_irqlexpassive_0.bpl.bpl,968,7793,548.479937
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl,845,15007,539.469975
1394vdev_completerequest_0.bpl.bpl,67,49,12.201598
sys_irqlzwpassive_3.bpl.bpl,481,632,109.074226
serial_markingqueuedirps_2.bpl.bpl,950,7400,723.714087
flpydisk_irqlexapclte1_0.bpl.bpl,134,142,21.627611
cyzport_irqlkereleasespinlock_0.bpl.bpl,31,19,10.2179
usbccgp_ioreuseirp_0.bpl.bpl,82,43,23.452622
ppa3x_nsremovelockquerymnremove_0.bpl.bpl,455,3307,124.724987
61883_markqueryrelations_1.bpl.bpl,56,58,9.706174
sbp2port_deletedevice_0.bpl.bpl,301,932,87.22032
kbdclass_completerequest_1.bpl.bpl,1728,9179,344.396966
61883_ioallocatecomplete_0.bpl.bpl,32,152,118.514192
61883_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl,77,42,11.655585
winnt_pendedcompletedrequest3_0.bpl.bpl,83,52,7.089102
sbp2port_irqlioapclte_1.bpl.bpl,272,351,40.50453
sbp2port_irqlkeraiselower2_0.bpl.bpl,34,25,16.84236
mouser_iobuilddeviceiocontrolsetevent_0.bpl.bpl,163,286,21.820742
parport_markstartdevice_0.bpl.bpl,79,36,13.346268
