Name,OR_Outcome,OR_TotalSplits,OR_Runtime,Who_Performed_Better
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,256,71.599902,OR
mouclass_signaleventincompletion_1.bpl.bpl.txt,OK,212,56.69444300000001,OR
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt,0,0,0.0,OR
serial_pendedcompletedrequest3_1.bpl.bpl.txt,NOK,209,22.722022000000003,OR
kbdclass_multremovelock_1.bpl.bpl.txt,NOK,113,48.055451,OR
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,11,13.340532999999999,OR
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,43,7.756029000000001,OR
61883_ioreuseirp_1.bpl.bpl.txt,NOK,92,14.540942,OR
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,693,281.403347,OR
mouclass_completerequest_1.bpl.bpl.txt,OK,235,38.340839,OR
1394vdev_markirppending_0.bpl.bpl.txt,OK,301,67.842196,OR
serial_markingqueuedirps_2.bpl.bpl.txt,OK,902,690.24815,OR
61883_removelockreleaseinternaldevicecontrol_1.bpl.bpl.txt,NOK,122,12.866523,OR
modem_completerequest_0.bpl.bpl.txt,NOK,232,25.730325,OR
1394diag_pendedcompletedrequest2_0.bpl.bpl.txt,OK,622,236.89024300000003,OR
hw_markstartdevice_0.bpl.bpl.txt,NOK,1328,511.911655,OR
tffsport_spinlockrelease_0.bpl.bpl.txt,0,0,0.0,OR
parzip_completerequest_0.bpl.bpl.txt,0,0,0.0,OR
mouser_removelock_1.bpl.bpl.txt,NOK,132,15.232927000000002,OR
61883_removelockrelease2_1.bpl.bpl.txt,0,0,0.0,OR
61883_irqlkesetevent_0.bpl.bpl.txt,OK,1,1.4512229999999997,OR
partmgr_nsremovelockquerymnremove_0.bpl.bpl.txt,0,0,0.0,OR
driver_irqliopassive5_1.bpl.bpl.txt,OK,1,2.2678280000000006,OR
kbdclass_removelockmnsurpriseremove_0.bpl.bpl.txt,0,0,0.0,OR
61883_irqlkedispatchlte_1.bpl.bpl.txt,0,0,0.0,OR
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt,OK,2812,1830.338664,OR
