Name,alpha50_Outcome,alpha50_TotalSplits,alpha50_Runtime,Who_Performed_Better
sbp2port_markirppending_0.bpl.bpl.txt,NOK,60,86.19140700000001,alpha50
modem_markirppending_0.bpl.bpl.txt,NOK,89,92.275047,alpha50
avc_markirppending_0.bpl.bpl.txt,TIMEDOUT,194,3598.682321,NONE
avc_forwardedatbadirql_1.bpl.bpl.txt,TIMEDOUT,636,3598.992513,NONE
sbp2port_irqlreturn_0.bpl.bpl.txt,NOK,22,5.742286,alpha50
tffsport_spinlocksafe_0.bpl.bpl.txt,TIMEDOUT,263,3598.380231,NONE
driver_irqlexallocatepool_3.bpl.bpl.txt,OK,26,15.16066,alpha50
sbp2port_irqlkewaitformutexobject_0.bpl.bpl.txt,NOK,43,28.599743,alpha50
61883_pendedcompletedrequest_1.bpl.bpl.txt,NOK,22,6.295145,alpha50
serial_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,166,3598.746951,NONE
61883_removelockreleaseinternaldevicecontrol_1.bpl.bpl.txt,NOK,20,7.671214999999999,alpha50
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,OK,111,3514.376448,alpha50
serial_irqlzwpassive_2.bpl.bpl.txt,TIMEDOUT,192,3598.705234,NONE
avc_pendedcompletedrequest_1.bpl.bpl.txt,OK,118,152.402214,alpha50
sbp2port_completerequest_0.bpl.bpl.txt,NOK,14,6.229568,alpha50
sbp2port_markirppending_1.bpl.bpl.txt,NOK,28,18.400866,alpha50
serial_pagedcode_1.bpl.bpl.txt,TIMEDOUT,185,3598.651526,NONE
ppa3x_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,91,3599.240274,NONE
61883_ioallocatefree_0.bpl.bpl.txt,TIMEDOUT,355,3598.503801,NONE
driver_iobuildsynchronousfsdrequestnofree_0.bpl.bpl.txt,NOK,62,79.633586,alpha50
avc_lowerdriverreturn_0.bpl.bpl.txt,NOK,125,86.26888,alpha50
winnt_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,35,7.279979,alpha50
serenum_markirppending_1.bpl.bpl.txt,TIMEDOUT,465,3599.187708,NONE
Imapi_removelockreleasedevicecontrol_0.bpl.bpl.txt,OK,84,1663.144448,alpha50
61883_completerequest_0.bpl.bpl.txt,NOK,20,9.95016,alpha50
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,OK,257,1214.026497,alpha50
cyyport_pagedcode_0.bpl.bpl.txt,OK,84,202.117135,alpha50
mouser_removelockforward2_0.bpl.bpl.txt,NOK,38,13.029138999999999,alpha50
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,165,3598.744093,NONE
driver_irqlobpassive_0.bpl.bpl.txt,OK,2,1.472009,alpha50
61883_markqueryrelations_1.bpl.bpl.txt,NOK,31,8.379171,alpha50
mouser_removelockreleasecreate_1.bpl.bpl.txt,NOK,57,10.886464,alpha50
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMEDOUT,206,3598.946345,NONE
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,286,3598.765513,NONE
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,65,82.298443,alpha50
sys_removelockreleasedevicecontrol_4.bpl.bpl.txt,OK,8,4.649583,alpha50
sbp2port_irqliopassive4_1.bpl.bpl.txt,OK,126,107.063512,alpha50
sys_completerequest_6.bpl.bpl.txt,NOK,23,14.322127,alpha50
kbdclass_ioallocatefree_0.bpl.bpl.txt,OK,100,194.847981,alpha50
modem_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,530,3598.982662,NONE
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,23,11.373581,alpha50
kbdclass_completerequest_1.bpl.bpl.txt,OK,116,609.908933,alpha50
mouclass_completerequest_1.bpl.bpl.txt,OK,68,40.477111,alpha50
hw_irqlreturn_0.bpl.bpl.txt,OK,134,230.543549,alpha50
usbccgp_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,734,3598.343802,NONE
daytona_removelockrelease2_0.bpl.bpl.txt,NOK,75,41.147353,alpha50
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,102,320.707647,alpha50
sbp2port_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,195,3598.279419,NONE
mouclass_multremovelock_1.bpl.bpl.txt,NOK,57,57.802569999999996,alpha50
mouclass_powerdownallocate_1.bpl.bpl.txt,OK,113,255.50147299999998,alpha50
