Name,NOK_OutCome,NOK_Outcome,NOK_TotalSplits,NOK_TotalSplits,NOK_RunTime,NOK_RunTime,Who Performed Better,By How Much Percentage,NOK TimedOut but not NOK,NOK TimedOut but not NOK
sbp2port_lowerdriverreturn_1.bpl.bpl.txt,NOK,NOK,27,27,10.290213999999999,10.290213999999999,TIMED-OUT,TIMED-OUT,0,0
driver_iobuildsynchronousfsdrequestnofree_0.bpl.bpl.txt,NOK,NOK,55,55,56.277999,56.277999,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,NOK,23,23,10.95875,10.95875,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,NOK,21,21,12.690353,12.690353,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockrelease2_0.bpl.bpl.txt,NOK,NOK,94,94,98.810299,98.810299,TIMED-OUT,TIMED-OUT,0,0
61883_ioreleaseremovelockandwaitoutsideremovedevice_0.bpl.bpl.txt,NOK,NOK,26,26,14.556109999999999,14.556109999999999,TIMED-OUT,TIMED-OUT,0,0
sbp2port_completerequest_0.bpl.bpl.txt,NOK,NOK,20,20,7.441552000000001,7.441552000000001,TIMED-OUT,TIMED-OUT,0,0
avc_ioreuseirp_0.bpl.bpl.txt,NOK,NOK,150,150,171.545006,171.545006,TIMED-OUT,TIMED-OUT,0,0
daytona_removelockreleasepnp_1.bpl.bpl.txt,NOK,NOK,85,85,84.228909,84.228909,TIMED-OUT,TIMED-OUT,0,0
usbccgp_completerequest_0.bpl.bpl.txt,NOK,NOK,22,22,15.68094,15.68094,TIMED-OUT,TIMED-OUT,0,0
avc_ioreuseirp_1.bpl.bpl.txt,NOK,NOK,153,153,197.156815,197.156815,TIMED-OUT,TIMED-OUT,0,0
61883_removelockreleasedevicecontrol_0.bpl.bpl.txt,NOK,NOK,26,26,9.85112,9.85112,TIMED-OUT,TIMED-OUT,0,0
kbdclass_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,NOK,20,20,10.473424,10.473424,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,43,43,35.877246,35.877246,TIMED-OUT,TIMED-OUT,0,0
usbccgp_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,NOK,20,20,7.915024000000001,7.915024000000001,TIMED-OUT,TIMED-OUT,0,0
sys_irqlreturn_6.bpl.bpl.txt,NOK,NOK,50,50,33.783721,33.783721,TIMED-OUT,TIMED-OUT,0,0
winnt_completerequest_0.bpl.bpl.txt,NOK,NOK,38,38,28.34027,28.34027,TIMED-OUT,TIMED-OUT,0,0
