Name,AlphaDecay_copy_OutCome,AlphaDecay_Outcome,AlphaDecay_copy_TotalSplits,AlphaDecay_TotalSplits,AlphaDecay_copy_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not AlphaDecay_copy,AlphaDecay_copy TimedOut but not AlphaDecay
avc_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,471,471,898.602107,898.602107,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,60,60,80.914302,80.914302,TIMED-OUT,TIMED-OUT,0,0
crcfilter_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,465,465,899.330284,899.330284,TIMED-OUT,TIMED-OUT,0,0
sbp2port_spinlocksafe_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,449,449,898.511683,898.511683,TIMED-OUT,TIMED-OUT,0,0
serial_irqlzwpassive_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,76,76,898.504775,898.504775,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,454,454,898.568415,898.568415,TIMED-OUT,TIMED-OUT,0,0
hw_irqliopassive2_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,404,404,898.556827,898.556827,TIMED-OUT,TIMED-OUT,0,0
hw_markstartdevice_0.bpl.bpl.txt,NOK,NOK,383,383,735.193781,735.193781,TIMED-OUT,TIMED-OUT,0,0
61883_lowerdriverreturn_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,443,443,898.57132,898.57132,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,100,100,896.88339,896.88339,TIMED-OUT,TIMED-OUT,0,0
1394diag_pendedcompletedrequest2_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,237,237,899.04964,899.04964,TIMED-OUT,TIMED-OUT,0,0
ppa3x_completerequest_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,198,198,899.107267,899.107267,TIMED-OUT,TIMED-OUT,0,0
