Name,OR_OutCome,AlphaDecay2_Outcome,OR_TotalSplits,AlphaDecay2_TotalSplits,OR_RunTime,AlphaDecay2_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay2 TimedOut but not OR,OR TimedOut but not AlphaDecay2
sys_zwregistrycreate_0.bpl.bpl.txt,OK,TIMEDOUT,29,49,311.723035,1499.245717,OR,380.95442064459564,1,0
cyzport_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,101,97,151.361754,152.488556,OR,0.7444430116738723,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,OK,OK,32,33,651.729792,414.600056,AlphaDecay2,57.194815236590316,0,0
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,199,115,332.999746,178.33110000000002,AlphaDecay2,86.73116803518846,0,0
