Name,OR_Outcome,alpha50_Outcome,UW_Outcome,OR_InlinedProcedures,alpha50_InlinedProcedures,UW_InlinedProcedures,OR_Runtime,alpha50_Runtime,UW_Runtime,Who_Performed_Better,Run number
daytona_completerequeststatuscheck_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,86,451,98.63588999999999,117.467034,898.765506,OR,Run1
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,56,487,268.660709,99.24105899999999,899.172773,alpha50,Run1
hw_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,0,173,484,257.3024,898.526397,898.538536,OR,Run1
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,55,116,275.124784,382.416067,899.041817,OR,Run1
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,38,476,207.57075,60.301764,899.125926,alpha50,Run1
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,0,272,340,475.707762,898.549299,898.544247,OR,Run1
serial_pendedcompletedrequest3_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,118,406,363.867324,360.87679799999995,898.57191,alpha50,Run1
kbdclass_ioallocatefree_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,89,289,186.265522,158.31544399999999,899.081853,alpha50,Run1
serial_markingqueuedirps_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,161,455,157.065665,614.606826,898.494848,OR,Run1
serial_markingqueuedirps_0.bpl.bpl.txt,OK,TIMEDOUT,TIMEDOUT,0,208,444,158.267834,898.655713,898.507671,OR,Run1
filter_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,83,430,68.601433,366.401927,898.714151,OR,Run1
61883_multremovelock_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,70,518,91.87121099999999,236.26811600000002,898.671441,OR,Run1
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,TIMEDOUT,OK,TIMEDOUT,0,52,126,898.900684,47.746112,898.907747,alpha50,Run1
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,OK,TIMEDOUT,0,142,491,267.490953,333.298176,897.806469,OR,Run1
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,TIMEDOUT,0,75,277,69.33445400000001,97.394773,898.585983,OR,Run1
