Name,OR_OutCome,min(alpha 10/50/90)_Outcome,OR_TotalSplits,min(alpha 10/50/90)_TotalSplits,OR_RunTime,min(alpha 10/50/90)_RunTime,alpha10_RunTime,alpha50_RunTime,alpha90_RunTime,Who Performed Better,By How Much Percentage,min(alpha 10/50/90) TimedOut but not OR,OR TimedOut but not min(alpha 10/50/90)
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,OK,0,142,267.490953,333.298176,347.36919500000005,333.298176,593.7135280000001,OR,24.60166307007775,0,0
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,0,63,100.240351,70.340645,109.84303600000001,70.340645,84.250189,50,42.507011415661616,0,0
avc_pendedcompletedrequest_0.bpl.bpl.txt,OK,OK,0,45,69.33445400000001,85.779742,85.779742,97.394773,898.495034,OR,23.718782006994658,0,0
driver_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,OK,0,148,899.282351,463.183087,463.183087,899.247302,899.241438,10,N/A,0,1
kbdclass_ioallocatefree_0.bpl.bpl.txt,OK,OK,0,49,186.265522,65.69417,65.69417,158.31544399999999,498.889368,10,183.5343258009044,0,0
61883_multremovelock_1.bpl.bpl.txt,OK,OK,0,38,103.359415,69.941269,69.941269,95.89078500000001,880.3981190000001,10,47.78029692312273,0,0
mp_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,OK,0,41,59.44351399999999,54.079876,54.079876,115.136151,603.862299,10,9.917992415515144,0,0
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,OK,0,97,392.829938,216.280418,343.791652,304.387976,216.280418,90,81.62991436423063,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,TIMEDOUT,OK,0,37,899.08596,279.611652,899.086349,303.895436,279.611652,90,N/A,0,1
mouser_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,OK,OK,0,56,268.660709,99.24105899999999,117.869002,99.24105899999999,860.509187,50,170.71527823982612,0,0
sys_zwregistrycreate_0.bpl.bpl.txt,OK,OK,0,25,407.387172,860.498548,860.498548,899.249671,899.17969,OR,111.2237711795206,0,0
mouser_iobuilddevicecontrolwait_0.bpl.bpl.txt,OK,OK,0,47,116.68192,96.478328,96.478328,160.891591,489.708297,10,20.941067718337738,0,0
hw_pagedcode_0.bpl.bpl.txt,TIMEDOUT,OK,0,125,898.504833,235.20509199999998,577.5178709999999,235.20509199999998,898.564524,50,N/A,0,1
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,OK,OK,0,78,501.419209,109.361515,701.382752,109.361515,572.8850130000001,50,358.4969484009069,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,OK,0,109,898.405423,727.3662099999999,898.467994,727.3662099999999,898.424777,50,N/A,0,1
mouser_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,OK,OK,0,38,207.57075,60.301764,197.96595299999998,60.301764,437.599987,50,244.22002978221337,0,0
mp_irqlexpassive_0.bpl.bpl.txt,OK,OK,0,126,486.766656,850.895339,850.895339,897.306886,897.094244,OR,74.80559288761144,0,0
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,OK,0,95,101.283145,206.857078,206.857078,284.450263,754.1885040000001,OR,104.23642847978307,0,0
filter_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,0,67,68.601433,359.64722700000004,359.64722700000004,366.401927,476.722854,OR,424.25614345402965,0,0
serial_pendedcompletedrequest3_0.bpl.bpl.txt,OK,OK,0,90,363.867324,115.785269,115.785269,360.87679799999995,727.286792,10,214.26046434283447,0,0
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,OK,0,113,475.707762,398.68994399999997,398.68994399999997,898.549299,898.546666,10,19.317722746475905,0,0
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,OK,0,154,49.55664,321.38572999999997,433.046304,321.38572999999997,756.5243810000001,OR,548.5220345850727,0,0
hw_irqlreturn_0.bpl.bpl.txt,OK,OK,0,62,147.296405,112.139438,112.139438,245.12688,445.649825,10,31.351117525664783,0,0
61883_multremovelock_0.bpl.bpl.txt,OK,OK,0,29,91.87121099999999,29.111106,29.111106,236.26811600000002,898.619654,10,215.58818479792552,0,0
modem_markingqueuedirps_0.bpl.bpl.txt,OK,OK,0,133,125.678609,190.76954999999998,194.5632,190.76954999999998,274.906971,OR,51.791582925619416,0,0
